a,grand,1
the,afternoon,1
two,of,1
again,do,1
the,glass,1
nice,check,1
the,day,2
about,whenever,1
and,set,1
any,of,1
you,tidy,1
glass,that,1
and,down,1
that,youre,1
so,wish,2
were,only,1
the,leaves,1
think,if,1
week,suppose,1
had,quite,1
imitate,however,1
as,if,3
quite,a,1
because,the,1
up,one,1
went,on,3
floor,and,1
kitty,sat,1
kitten,as,1
entirely,for,1
dinner,then,1
the,arm,1
alice,had,3
all,my,2
them,yet,1
knots,and,1
which,was,1
you,understood,1
same,as,1
it,might,2
poor,thing,1
was,lying,1
worsted,with,1
wasnt,thirsty,1
see,suppose,1
summer,kitty,1
it,and,1
alice,got,1
you,know,8
through,the,1
this,is,1
want,so,1
play,chess,1
you,had,1
after,its,1
a,scramble,1
comes,up,1
of,sticks,1
so,they,1
exact,had,1
you,say,1
year,i,1
went,into,1
in,the,7
a,hungry,1
you,got,1
neck,just,1
i,heard,1
to,wind,1
how,nice,1
your,punishments,1
wouldnt,have,1
taking,the,1
youll,only,1
kitty,they,1
bit,behind,1
to,go,1
was,talking,1
kissing,the,1
look,exactly,1
pretend,and,1
came,or,1
plenty,of,1
to,have,1
the,miserable,1
you,never,1
once,well,1
do,lets,1
suddenly,in,1
were,playing,1
darlings,till,1
this,led,1
and,there,1
was,very,1
in,as,1
for,wednesday,1
black,kittens,1
manners,you,1
i,get,1
say,pretending,1
have,guessed,1
nothing,to,1
queens,and,1
only,attend,1
touching,the,1
at,once,1
her,knee,1
work,on,1
got,unwound,1
nurse,do,1
paw,went,1
and,youd,1
i,might,1
arms,youd,1
fire,smokes,1
the,black,2
pulled,snowdrop,1
fields,that,1
going,without,1
chair,half,1
when,they,1
as,cross,1
have,deserved,1
tell,you,4
then,it,1
much,id,1
dinah,washed,1
its,ear,1
if,it,3
see,all,1
the,ball,5
you,ought,2
all,meant,1
way,beginning,1
saucer,of,1
kitty,i,1
was,and,1
ought,to,1
would,be,1
much,to,1
have,won,1
your,fault,1
when,i,3
they,dress,1
still,and,1
alices,speech,1
great,arm,1
you,watched,1
her,hands,1
while,alice,1
hyaena,and,1
you,hear,1
to,morrow,2
her,sister,2
fire,in,1
that,came,1
them,do,1
go,and,1
its,arms,1
pretending,that,1
that,now,1
shouting,suddenly,1
but,she,1
can,you,1
once,she,1
her,what,1
as,a,1
your,eyes,1
old,cat,2
dress,themselves,1
just,to,1
you,out,1
with,her,3
got,to,1
it,when,1
dinah,you,1
who,liked,1
been,up,1
down,the,1
youre,a,1
youd,shut,1
scrambled,back,1
here,alice,1
to,say,3
like,that,1
should,be,1
kitten,and,3
house,how,1
loves,the,1
had,to,1
and,trying,1
to,do,1
punishments,she,1
oh,i,1
led,to,1
up,it,1
you,whats,1
but,the,2
sat,very,1
kisses,them,1
she,added,2
among,my,1
to,prison,1
in,her,1
do,try,1
it,to,1
against,the,1
it,up,3
put,you,1
than,the,1
all,the,3
could,tell,1
panes,kitty,1
favourite,phrase,1
talk,so,1
got,so,1
to,know,1
i,shouldnt,1
are,getting,1
it,wouldnt,1
house,first,1
dropping,the,1
washing,your,1
glass,thats,1
us,away,1
kitty,do,1
it,kitty,1
curled,up,1
ear,with,1
my,ideas,1
putting,out,1
what,would,1
sleep,darlings,1
a,voice,1
kitten,lets,1
well,you,1
so,much,2
alice,began,1
didnt,get,1
mischief,you,1
you,better,1
the,poor,1
queen,kitty,1
paw,and,2
into,the,2
she,could,1
room,only,1
the,hearth,1
ideas,about,1
do,so,2
by,its,1
kitty,only,1
over,outside,1
squeaked,twice,1
comes,again,1
im,sure,1
you,can,2
might,have,1
window,all,1
it,covers,1
is,kitty,1
you,how,1
her,paw,1
a,dear,1
one,of,1
a,dinner,1
quite,still,1
i,wonder,1
was,to,1
and,ill,1
out,into,1
see,through,1
before,the,1
dont,interrupt,1
had,begun,1
perhaps,it,1
manage,and,1
been,reduced,1
every,bit,1
and,i,1
with,me,1
her,old,1
with,lets,1
each,punishment,1
tidy,so,1
dinners,at,1
lets,pretend,5
say,beginning,1
our,drawing,1
getting,brown,1
came,wiggling,1
on,the,1
the,looking,1
liked,being,1
gently,touching,1
all,your,2
she,rubbed,1
dear,im,1
by,shouting,1
up,snug,1
then,smoke,1
the,snow,3
thats,three,1
and,queens,1
snug,you,1
morning,now,1
could,see,1
theres,a,1
tangles,with,1
doing,i,1
this,first,1
some,one,1
kitty,well,1
hour,and,1
hands,and,1
we,were,1
was,so,1
alice,wound,1
had,argued,1
three,faults,1
now,for,1
came,i,1
oh,thats,1
and,soft,1
smokes,and,1
into,your,1
would,they,1
very,demurely,1
ball,as,1
kittens,neck,1
have,to,1
then,she,1
on,as,1
down,till,1
can,be,1
go,to,1
to,make,1
sulky,it,1
really,frightened,1
romps,with,1
two,you,1
all,over,2
cold,and,1
put,down,1
wind,up,1
cat,for,1
glad,to,1
check,kitty,1
folded,your,1
faces,was,1
considering,so,1
open,if,1
it,understand,1
wasnt,looking,1
it,you,1
the,winter,1
and,really,1
snow,and,1
do,you,5
saved,up,1
me,only,1
thing,down,1
to,watch,1
which,the,1
because,when,1
a,corner,1
of,it,2
and,it,2
making,you,1
without,them,1
worsted,round,1
taught,you,1
finished,with,1
for,keeping,1
began,youd,1
alice,went,1
kitten,wouldnt,1
when,we,1
might,do,1
if,the,1
know,you,1
my,punishments,1
the,things,2
trying,to,2
green,and,1
and,had,1
see,that,2
you,half,1
you,see,1
catching,up,1
try,theres,1
her,favourite,1
so,while,1
speaking,in,1
now,do,1
was,this,1
so,gently,1
seriously,because,1
deserved,it,1
its,good,1
the,woods,1
if,youre,1
knee,pretending,1
a,fire,1
and,just,1
the,same,1
should,have,1
a,little,1
its,face,2
tail,in,1
you,play,1
punished,for,1
kitty,can,1
reproachfully,at,1
number,three,1
sat,up,1
interrupt,me,1
mind,that,1
happened,now,1
be,sent,1
kitty,how,1
she,didnt,1
down,by,1
reduced,at,1
all,of,1
had,all,1
to,tell,1
i,suppose,1
it,a,1
held,it,1
till,it,1
on,her,1
up,the,2
of,an,1
pieces,kitty,1
to,the,3
im,going,1
true,im,1
kitten,which,1
punishment,was,1
keeping,your,1
the,boys,1
old,nurse,1
herself,and,1
im,saving,1
for,yourself,1
hand,in,1
demurely,on,1
window,with,1
last,quarter,1
punish,it,1
beginning,at,1
about,looking,1
the,kitten,10
fast,as,1
before,her,1
other,paw,1
chess,now,1
kittens,fault,1
the,old,2
as,they,1
being,very,1
when,the,3
and,giving,1
and,bearing,1
yourself,now,1
two,or,1
frightened,her,1
wake,up,1
dont,smile,1
it,snowed,1
the,wind,1
on,talking,1
pretend,were,1
than,eat,1
upon,the,1
be,going,1
yet,you,1
soon,as,1
again,and,2
behind,the,1
as,i,2
you,little,1
come,undone,1
on,very,1
thing,didnt,1
washed,her,1
an,hour,1
if,some,1
have,you,1
kitty,dear,1
check,you,1
and,youve,1
worsted,while,1
what,to,1
you,squeaked,1
it,wants,1
or,let,1
the,saucer,1
little,thing,1
out,one,1
kitten,running,1
to,see,1
leaves,are,1
down,upon,1
whats,that,1
i,could,2
leave,off,1
in,which,1
three,turns,1
the,white,3
me,she,1
rather,go,1
sticks,kitty,1
was,a,1
faults,number,1
saw,all,1
blows,oh,1
pretty,well,1
while,i,1
that,you,1
you,like,1
ball,of,2
was,all,1
scramble,in,1
holding,up,1
they,were,1
far,rather,1
washed,by,1
without,a,1
red,queen,2
shouldnt,mind,1
and,here,1
been,having,2
fifty,dinners,1
it,sounds,1
wound,two,1
know,what,1
speech,to,1
little,mischievous,1
opening,the,1
good,directly,1
thirsty,too,1
back,into,1
dinah,was,2
here,i,1
one,you,1
was,certain,1
have,happened,1
looking,glass,4
darling,what,1
my,pieces,1
been,rolling,1
not,been,1
were,comfortably,1
and,speaking,1
know,im,1
wind,blows,1
woods,look,1
whenever,the,1
she,was,2
succeed,principally,1
not,talk,1
you,wicked,1
knight,that,1
and,began,1
and,gently,1
nurse,by,1
were,thirsty,1
snowed,so,1
because,alice,1
as,our,1
meant,for,1
and,the,1
of,the,4
to,punish,1
ill,be,1
well,go,1
unless,our,1
winter,you,1
sister,who,1
nice,and,1
dance,about,1
angry,kitty,1
down,among,1
day,came,2
by,the,2
youd,look,1
was,washing,1
with,earlier,1
way,i,1
then,and,1
wiggling,down,1
taking,us,1
is,taking,1
again,when,1
herself,kitty,1
directly,she,1
with,a,1
well,considering,1
hadnt,been,1
was,kissing,1
well,i,1
no,doubt,1
the,kittens,1
been,trying,1
do,with,1
kings,and,1
me,see,1
the,floor,1
what,you,1
things,alice,1
afternoon,and,1
how,do,1
a,long,1
were,kings,1
hungry,hyaena,1
how,it,1
finger,im,1
suppose,when,1
them,and,1
now,dont,3
and,youre,1
know,with,1
thing,was,1
you,unwound,1
and,sometimes,1
she,had,2
window,panes,1
looking,reproachfully,1
or,three,1
asleep,the,1
themselves,all,1
through,into,1
end,of,1
till,the,1
they,wake,1
the,time,1
and,dance,1
mischievous,darling,1
of,romps,1
having,a,1
bit,i,1
and,half,1
much,ill,1
and,see,1
id,far,1
kitty,and,3
had,saved,1
help,if,1
snowdrop,away,1
away,from,1
it,couldnt,1
might,see,1
up,and,3
tail,just,1
the,bit,1
sure,the,1
fault,entirely,1
a,nice,1
was,in,1
the,wrong,1
purr,no,1
chair,all,1
to,leave,1
to,sleep,1
the,progress,1
in,a,1
held,the,1
and,not,1
a,year,1
now,as,1
the,great,1
didnt,succeed,1
that,im,1
and,tangles,1
drawing,room,1
dont,make,1
then,when,1
eye,well,1
make,it,1
alice,used,1
wicked,little,1
tight,up,1
the,table,1
pretend,that,2
kiss,to,1
the,mischief,2
been,for,1
well,it,1
over,the,2
kitten,what,1
it,says,1
winding,and,1
see,how,2
the,thing,1
let,me,1
off,never,1
bearing,it,1
said,because,1
to,clap,1
giving,it,1
rug,all,1
dinah,ought,1
there,were,1
im,a,1
ball,rolled,1
clap,her,1
boys,getting,1
running,after,1
bone,but,1
but,this,1
number,one,1
your,eye,1
yards,and,1
yards,of,1
the,way,1
snow,against,1
well,thats,1
your,faults,1
watched,just,1
because,there,1
at,work,1
the,summer,2
i,wish,1
in,sticks,1
make,any,1
be,all,1
for,that,1
really,i,1
snow,loves,1
watching,the,1
say,for,1
used,to,1
like,her,1
see,the,1
playing,just,1
white,kitten,3
in,green,1
half,the,1
at,the,3
as,she,2
miserable,day,1
were,you,1
that,nasty,1
it,was,7
know,i,2
wednesday,week,1
its,own,1
and,her,1
prison,i,1
