AverageMetaDiffPercentEventsCorrect,AverageMetaDiffMeanTimeWithLabel,AverageMetaDiffMeanLabelCounts,MetaPercentEventsCorrect,BasePercentEventsCorrect,RatioPercentEventsCorrect,IncreasePercentEventsCorrect,MetaMeanTimeWithLabel,BaseMeanTimeWithLabel,RatioMeanTimeWithLabel,IncreaseMeanTimeWithLabel,MetaMaxTimeWithLabel,BaseMaxTimeWithLabel,RatioMaxTimeWithLabel,IncreaseMaxTimeWithLabel,MetaMinTimeWithLabel,BaseMinTimeWithLabel,RatioMinTimeWithLabel,IncreaseMinTimeWithLabel,MetaMeanLabelCounts,BaseMeanLabelCounts,RatioMeanLabelCounts,IncreaseMeanLabelCounts,MetaDistinctLabels,BaseDistinctLabels,RatioDistinctLabels,IncreaseDistinctLabels,MetaPlausibilityAccuracy,BasePlausibilityAccuracy,RatioPlausibilityAccuracy,IncreasePlausibilityAccuracy,MetaPlausibilityWorkspaceAccuracy,BasePlausibilityWorkspaceAccuracy,RatioPlausibilityWorkspaceAccuracy,IncreasePlausibilityWorkspaceAccuracy,NumberEntities,MaxWalk,ProbNewEntities,SensorSeesColor,GridWidth,GridHeight,MetaAbductions,MetaAcceptedBad,MetaAcceptedImpossible,MetaAcceptedImpossibleLconf,MetaAcceptedBatch,MetaAcceptedNone,MetaMilliseconds,BaseMilliseconds,RatioMilliseconds,IncreaseMilliseconds,MetaBadCount,BaseBadCount,RatioBadCount,IncreaseBadCount,MetaSharedExplainsCount,BaseSharedExplainsCount,RatioSharedExplainsCount,IncreaseSharedExplainsCount,MetaUnexplained,BaseUnexplained,RatioUnexplained,IncreaseUnexplained,MetaExplainCycles,BaseExplainCycles,RatioExplainCycles,IncreaseExplainCycles,Steps,StepsBetween,SensorNoise,BeliefNoise,Seed
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,2.0746392496392496,2.0746392496392496,1.0,0.0,1.8888888888888888,1.8888888888888888,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,51.158,25.547,2.002505186518965,100.25051865189651,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,765128
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,1.8023809523809522,1.8023809523809522,1.0,0.0,2.015873015873016,2.015873015873016,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,63.742,35.156,1.8131186710661054,81.31186710661053,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,5954677
0.0,0.0,0.0,88.8888888888889,88.8888888888889,1.0,0.0,7.5,7.5,1.0,0.0,7.5,7.5,1.0,0.0,7.5,7.5,1.0,0.0,1.5,1.5,1.0,0.0,4,4,1.0,0.0,1.3788095238095237,1.3788095238095237,1.0,0.0,1.9600000000000002,1.9600000000000002,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,37.981,41.829,0.9080064070381793,-9.199359296182072,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,8104861
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,1.8607142857142858,1.8607142857142858,1.0,0.0,1.81,1.81,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,18.448,22.788,0.8095488853782693,-19.04511146217307,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,8189830
0.0,0.0,0.0,94.44444444444444,94.44444444444444,1.0,0.0,7.5,7.5,1.0,0.0,7.5,7.5,1.0,0.0,7.5,7.5,1.0,0.0,1.5,1.5,1.0,0.0,4,4,1.0,0.0,1.8789141414141415,1.8789141414141415,1.0,0.0,1.375,1.375,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,29.72,42.595,0.6977344758774504,-30.22655241225496,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,7179185
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,1.8458730158730163,1.8458730158730163,1.0,0.0,1.546875,1.546875,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,42.002,70.993,0.591635795078388,-40.83642049216119,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,5530579
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,2.1401515151515147,2.1401515151515147,1.0,0.0,3.057142857142857,3.057142857142857,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,55.475,14.019,3.957129609815251,295.7129609815251,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,2821165
0.0,0.0,0.0,94.44444444444444,94.44444444444444,1.0,0.0,7.5,7.5,1.0,0.0,9.5,9.5,1.0,0.0,5.5,5.5,1.0,0.0,1.5,1.5,1.0,0.0,4,4,1.0,0.0,1.8024999999999998,1.8024999999999998,1.0,0.0,1.5625,1.5625,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,56.596,76.388,0.740901712310834,-25.909828768916594,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,1254977
0.0,0.0,0.0,86.1111111111111,86.1111111111111,1.0,0.0,4.666666666666666,4.666666666666666,1.0,0.0,6.25,6.25,1.0,0.0,3.5,3.5,1.0,0.0,3.0,3.0,1.0,0.0,7,7,1.0,0.0,1.6853527844704317,1.6853527844704317,1.0,0.0,1.6,1.6,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,63.301,37.398,1.6926306219583933,69.26306219583934,0,0,0.0,0.0,4,4,1.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,1101655
0.0,0.0,0.0,94.44444444444444,94.44444444444444,1.0,0.0,7.5,7.5,1.0,0.0,7.5,7.5,1.0,0.0,7.5,7.5,1.0,0.0,1.5,1.5,1.0,0.0,4,4,1.0,0.0,1.9319444444444442,1.9319444444444442,1.0,0.0,2.3125,2.3125,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,97.322,46.165,2.1081338676486516,110.81338676486516,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,8950071
