king,as,he,slowly,struggled,up,1
alice,had,been,reduced,at,last,1
dinner,then,when,the,miserable,day,1
she,hastily,picked,up,the,queen,1
glass,house,if,you,leave,the,1
against,the,window,panes,kitty,how,1
me,away,from,the,fire,oh,1
neck,just,to,see,how,it,1
over,his,shoulder,and,began,writing,1
nearly,let,him,drop,upon,the,1
i,was,in,the,old,room,1
wind,up,and,had,been,rolling,1
the,end,of,a,year,i,1
tidy,as,the,other,alice,thought,1
a,chair,all,but,the,bit,1
by,shouting,suddenly,in,her,ear,1
and,went,round,the,room,to,1
the,glass,thats,just,the,same,1
then,it,covers,them,up,snug,1
do,nothing,but,hug,the,little,1
will,get,into,it,there,now,1
ball,again,but,she,didnt,get,1
well,thats,your,fault,for,keeping,1
would,you,like,that,now,if,1
alice,was,a,little,alarmed,at,1
saucer,of,milk,before,her,what,1
in,that,room,too,but,that,1
going,to,tell,you,all,your,1
through,the,glass,thats,just,the,1
youll,be,hours,and,hours,getting,1
thirsty,too,now,for,number,three,1
to,say,for,yourself,now,dont,1
angry,kitty,alice,went,on,as,1
i,saw,all,the,mischief,you,1
nearly,sure,they,cant,see,me,1
with,earlier,in,the,afternoon,and,1
what,would,happen,next,it,is,1
hadnt,been,for,that,nasty,knight,1
pictures,on,the,wall,next,the,1
speech,to,the,kitten,lets,pretend,1
me,she,went,on,as,she,1
was,so,angry,kitty,alice,went,1
as,she,had,recovered,her,breath,1
through,why,its,turning,into,a,1
now,you,cant,deny,it,kitty,1
behind,the,fireplace,oh,i,do,1
her,on,the,table,by,the,1
me,only,dinah,was,making,you,1
whiskers,the,horror,of,that,moment,1
you,better,manners,you,ought,dinah,1
said,check,you,purred,well,it,1
i,think,youre,tidy,enough,she,1
kitten,wouldnt,fold,its,arms,properly,1
havent,got,any,whiskers,the,horror,1
by,its,ear,with,one,paw,1
i,said,check,you,purred,well,1
was,certain,that,the,white,kitten,1
she,went,on,talking,more,to,1
piece,you,know,you,can,only,1
her,ear,nurse,do,lets,pretend,1
one,was,kissing,the,window,all,1
with,a,white,quilt,and,perhaps,1
it,says,go,to,sleep,darlings,1
looking,up,anxiously,into,the,fire,1
have,taught,you,better,manners,you,1
her,and,she,took,hold,of,1
so,wide,open,all,the,ashes,1
when,the,leaves,are,getting,brown,1
had,lifted,the,queen,that,she,1
to,which,the,queen,replied,you,1
away,but,before,she,put,him,1
know,it,may,be,quite,different,1
what,have,you,got,to,say,1
to,see,one,of,the,white,1
bit,it,writes,all,manner,of,1
that,the,king,couldnt,hear,her,1
the,fireplace,oh,i,do,so,1
i,said,she,was,hard,at,1
very,gently,and,lifted,him,across,1
woods,look,sleepy,in,the,autumn,1
away,from,alices,speech,to,the,1
alice,watched,the,white,king,as,1
that,she,mightnt,take,his,breath,1
what,fun,itll,be,when,they,1
she,nearly,let,him,drop,upon,1
glass,house,how,would,you,like,1
that,it,was,in,disgrace,really,1
down,the,saucer,of,milk,before,1
yourself,now,dont,interrupt,me,she,1
the,things,alice,used,to,say,1
was,covered,with,ashes,from,head,1
book,out,of,his,pocket,and,1
saw,all,the,mischief,you,had,1
hear,me,she,went,on,as,1
little,she,called,out,to,the,1
glass,thats,just,the,same,as,1
had,put,down,the,saucer,of,1
at,what,she,had,done,and,1
the,table,behind,alice,and,made,1
itll,be,easy,enough,to,get,1
the,bonfire,and,it,wants,plenty,1
certain,that,the,white,kitten,had,1
can,hear,me,she,went,on,1
on,the,table,by,the,side,1
catching,up,the,kitten,and,giving,1
it,hadnt,been,for,that,nasty,1
had,left,behind,so,i,shall,1
was,watching,the,boys,getting,in,1
youd,shut,them,tight,up,it,1
her,and,began,winding,up,the,1
she,had,had,quite,a,long,1
throw,over,him,however,she,could,1
most,likely,place,to,find,one,1
with,her,sister,only,the,day,1
opening,the,window,and,putting,you,1
all,the,rest,and,once,she,1
at,once,well,i,shouldnt,mind,1
but,a,bottle,of,ink,and,1
about,and,noticed,that,what,could,1
for,instance,the,pictures,on,the,1
alice,looked,on,with,great,interest,1
the,ashes,will,get,into,it,1
i,assure,you,my,dear,i,1
had,a,fire,well,then,the,1
isnt,good,to,drink,but,oh,1
scold,me,away,from,the,fire,1
there,and,certainly,the,glass,was,1
much,to,know,whether,theyve,a,1
i,wasnt,looking,thats,three,faults,1
together,in,a,frightened,whisper,so,1
can,hardly,hold,you,and,dont,1
end,of,a,year,i,should,1
