to,56
thirsty,2
seen,2
castles,1
up,27
rounder,2
every,1
wouldnt,2
fall,1
wonder,2
kitty,18
several,1
hastily,1
ideas,1
fast,1
feeling,1
anxiously,1
pretence,1
leaves,1
writing,2
rapid,1
child,1
after,1
rolled,1
turned,1
excuses,1
right,1
them,10
so,22
astonished,1
arm,4
blew,1
long,1
among,4
somehow,2
life,1
blown,1
doubt,1
afternoon,1
theyd,1
glass,16
day,3
regular,1
covers,1
kings,1
kicking,1
year,1
grinned,1
roll,1
turn,1
mightnt,1
good,3
beginning,3
properly,1
he,11
mist,2
if,19
edge,1
which,5
then,10
begun,1
keeping,1
face,5
putting,2
argument,1
nurse,2
nice,3
called,1
used,1
understand,1
drawing,2
kiss,1
miserable,1
reproachfully,1
entirely,1
immediately,1
tight,1
frightened,2
three,3
real,1
sort,1
argued,1
us,1
this,7
looked,2
washed,2
reduced,1
who,3
black,2
you,57
uninteresting,1
neck,1
did,1
across,1
being,2
hold,3
fun,1
running,1
on,20
youll,2
ball,5
yourself,1
fell,1
look,5
blazing,1
exact,1
rubbing,1
before,4
suppose,3
cross,1
folded,1
breath,4
picked,2
rate,1
added,3
melt,1
peep,1
shoulder,1
head,3
moment,3
into,11
alice,24
chess,1
punishments,2
house,6
earlier,1
again,5
journey,1
