couldnt,have,had,any,1
rolling,it,up,and,1
see,me,i,feel,1
had,saved,up,all,1
didnt,succeed,principally,alice,1
be,when,they,see,1
snow,loves,the,trees,1
see,the,bonfire,to,1
is,kitty,alice,began,1
his,back,and,lay,1
and,really,i,might,1
they,hold,up,one,1
nearly,opening,the,window,1
there,was,a,real,1
quarter,of,an,hour,1
the,room,to,see,1
quite,still,and,trying,1
here,as,i,was,1
kitten,which,was,lying,1
favourite,phrase,lets,pretend,1
kitty,well,go,and,1
hold,of,the,end,1
took,hold,of,the,1
the,snow,against,the,1
dinner,then,when,the,1
you,know,im,saving,1
principally,alice,said,because,1
shoulder,and,began,writing,1
warm,here,as,i,1
wouldnt,have,happened,now,1
she,had,lifted,the,1
oh,such,beautiful,things,1
began,youd,have,guessed,1
got,all,soft,like,1
sure,they,cant,see,1
and,knees,watching,them,1
quite,pleased,to,find,1
a,little,she,called,1
somehow,as,if,i,1
having,a,grand,game,1
of,it,got,unwound,1
do,try,theres,a,1
he,found,himself,held,1
alice,was,very,anxious,1
see,all,of,it,1
the,queen,that,she,1
should,have,to,go,1
window,all,over,outside,1
violently,that,she,knocked,1
will,though,the,queen,1
he,had,recovered,and,1
your,eyes,open,if,1
if,it,might,do,1
you,purred,well,it,1
from,alices,speech,to,1
too,now,for,number,1
that,much,id,far,1
that,she,knocked,him,1
was,as,different,as,1
twice,while,dinah,was,1
bottle,of,ink,and,1
succeed,principally,alice,said,1
have,deserved,it,you,1
and,see,the,bonfire,1
open,if,youd,shut,1
drawing,room,only,the,1
upon,the,floor,and,1
at,the,nose,and,1
come,up,the,regular,1
it,up,before,the,1
and,bearing,it,pretty,1
grand,game,of,romps,1
queen,off,the,table,1
in,the,window,with,1
red,queen,alice,said,1
they,dont,keep,this,1
get,at,me,then,1
in,looking,glass,house,2
to,cry,out,but,1
blows,oh,thats,very,1
if,you,understood,it,1
the,snow,loves,the,1
as,she,could,manage,1
struck,her,and,she,1
three,you,unwound,every,1
things,go,the,other,1
kittens,neck,just,to,1
about,whenever,the,wind,1
what,would,happen,next,1
so,wish,i,could,1
still,and,trying,to,1
to,melt,away,just,1
why,youll,be,hours,1
you,sat,up,and,1
she,hardly,knew,how,1
its,very,like,our,1
in,all,her,life,1
i,shall,never,never,1
was,so,covered,with,1
know,with,a,white,1
went,on,holding,up,1
round,the,room,to,1
,,,looking,1
mind,that,much,id,1
oh,you,wicked,little,1
soft,like,gauze,so,1
here,something,began,squeaking,1
mind,kitty,well,go,1
with,the,ball,of,1
speaking,in,as,cross,1
came,some,way,over,1
as,she,smoothed,his,1
was,and,if,youre,1
of,it,when,i,1
scrambling,wildly,up,the,1
had,recovered,her,breath,1
what,she,had,done,1
get,into,it,there,1
was,a,nice,check,1
and,certainly,the,glass,1
the,very,first,thing,1
leave,the,door,of,1
then,she,scrambled,back,1
being,very,exact,had,1
understood,it,and,when,1
to,throw,over,him,1
pictures,on,the,wall,1
very,like,our,passage,1
fire,in,the,winter,1
down,by,its,ear,1
it,hadnt,been,for,1
in,a,whisper,for,1
are,the,red,king,1
astonished,to,cry,out,1
for,its,good,but,1
fit,she,hastily,picked,1
as,if,i,were,1
on,his,back,and,1
room,was,quite,common,1
fun,itll,be,when,1
got,so,cold,and,1
entirely,for,the,white,1
the,table,behind,alice,1
with,the,kitten,running,1
pretence,just,to,make,1
she,could,manage,and,1
dinah,you,know,you,1
it,was,in,disgrace,1
with,it,it,was,1
she,might,as,well,1
among,the,ashes,mind,1
it,snowed,so,they,1
your,fault,for,keeping,1
out,but,his,eyes,1
and,at,last,he,1
me,she,went,on,2
over,outside,i,wonder,1
said,why,youll,be,1
you,know,what,to,1
table,behind,alice,and,1
upon,a,chair,all,1
wake,up,in,the,1
our,books,only,the,1
up,the,queen,and,1
sometimes,to,herself,kitty,1
any,whiskers,the,horror,1
could,find,any,water,1
kitty,how,nice,it,1
which,the,queen,replied,1
glass,house,first,theres,1
our,drawing,room,only,1
a,sort,of,mist,1
and,when,i,said,1
and,i,do,so,1
for,keeping,your,eyes,1
you,can,see,through,1
was,certain,that,the,1
a,right,to,be,1
keep,your,mouth,so,1
it,had,all,come,1
directly,she,added,ill,1
better,help,you,hadnt,1
writes,all,manner,of,1
paw,and,gently,touching,1
past,the,king,so,1
watched,it,with,great,1
said,check,you,purred,1
fault,entirely,for,the,1
king,was,saying,i,1
so,i,shall,be,1
behind,alice,and,made,1
was,washing,your,face,1
a,scramble,in,which,1
she,could,find,any,1
having,its,face,washed,1
as,she,put,her,1
king,so,violently,that,1
a,long,argument,with,1
but,that,may,be,1
doubt,feeling,that,it,1
kitten,running,after,its,1
and,larger,and,rounder,1
the,queen,who,was,1
lets,pretend,theres,a,1
the,end,of,the,1
here,are,the,red,1
wrong,way,i,know,1
the,side,of,her,1
away,but,before,she,1
you,cant,deny,it,1
and,rounder,till,her,1
it,would,be,if,1
it,was,and,if,1
in,another,moment,with,1
back,with,it,she,1
demurely,on,her,knee,1
replied,you,havent,got,1
can,be,one,of,1
each,punishment,was,to,1
not,good,directly,she,1
to,herself,as,she,1
the,black,kittens,fault,1
as,he,slowly,struggled,1
be,of,use,and,1
had,begun,with,lets,1
without,a,dinner,then,1
day,came,i,should,1
and,yards,and,yards,1
a,chair,all,but,1
might,see,how,sulky,1
mischief,the,way,dinah,1
go,to,sleep,darlings,1
she,was,talking,all,1
kitty,lets,pretend,the,1
was,up,on,the,1
lifted,the,queen,that,1
mind,you,come,up,1
with,laughing,that,she,1
therell,be,no,one,1
could,tell,you,half,1
went,round,the,room,1
whats,that,you,say,1
very,fast,as,she,1
on,with,great,interest,1
well,you,can,be,1
turn,her,head,just,1
out,into,the,snow,1
im,nearly,sure,they,1
the,very,ends,of,1
the,air,had,quite,1
eye,well,thats,your,1
upon,the,floor,oh,1
dont,get,blown,up,1
a,fire,well,then,1
the,old,room,was,1
pretty,cried,alice,dropping,1
had,been,having,its,1
who,was,still,a,1
the,queen,and,set,1
glass,room,the,very,1
been,having,a,grand,1
back,into,the,arm,1
little,peep,of,the,1
just,like,a,bright,1
blazing,away,as,brightly,1
be,hours,and,hours,1
to,the,white,king,1
her,head,just,in,1
you,my,dear,i,1
only,the,words,go,1
all,the,rest,was,1
seen,from,the,old,1
this,though,she,hardly,1
set,her,on,the,1
it,wants,plenty,of,1
then,she,began,looking,1
you,how,do,you,1
lay,perfectly,still,and,1
youd,look,exactly,like,1
and,once,she,had,1
be,sent,to,prison,1
room,only,the,things,1
mist,in,another,moment,1
the,great,arm,chair,1
the,poor,little,lily,1
plenty,of,sticks,kitty,1
suppose,they,had,saved,1
bar,till,at,last,1
that,you,say,pretending,1
imperial,kitten,and,she,1
the,window,and,putting,1
pretending,that,the,kitten,1
pretend,the,glass,has,1
piece,you,know,you,1
the,red,queen,off,1
in,fact,because,therell,1
see,only,you,know,1
its,good,but,the,1
he,slowly,struggled,up,1
all,of,it,when,1
neck,just,to,see,1
i,was,so,angry,1
oh,of,surprise,she,1
into,the,snow,and,1
how,it,would,look,1
queen,kitty,do,you,1
manage,and,then,she,1
only,get,through,into,1
alices,speech,to,the,1
again,and,when,they,1
she,said,afterwards,that,1
make,me,laugh,so,1
to,purr,no,doubt,1
kisses,them,so,gently,1
the,poor,thing,down,1
you,dont,make,a,1
she,could,find,nothing,1
i,shouldnt,mind,that,1
faces,was,this,first,1
the,tail,just,as,1
alice,said,in,a,1
and,for,a,minute,1
and,now,and,then,1
only,two,of,them,1
phrase,lets,pretend,she,1
talking,more,to,herself,1
try,theres,a,dear,1
that,it,couldnt,have,1
the,time,sometimes,to,1
make,any,more,excuses,1
out,to,the,white,1
so,you,couldnt,i,1
morrow,is,kitty,alice,1
pretending,to,watch,the,1
thing,down,by,its,1
smokes,and,then,smoke,1
behind,so,i,shall,1
go,without,them,than,1
in,the,looking,glass,1
about,and,noticed,that,1
room,wide,open,and,1
really,frightened,her,old,1
the,kitten,as,a,1
shut,them,tight,up,1
on,getting,larger,and,1
when,they,wake,up,1
alice,looked,on,with,1
would,happen,next,it,1
arms,properly,so,to,1
in,silence,as,soon,1
another,moment,alice,was,1
them,and,alice,had,1
she,rushed,past,the,1
with,earlier,in,the,1
sat,very,demurely,on,1
and,the,worsted,with,1
found,himself,held,in,1
only,dinah,was,making,1
said,if,you,dont,1
frightening,them,and,there,1
pretend,she,had,had,1
think,youre,tidy,enough,1
instance,the,pictures,on,1
glass,house,if,you,1
up,the,kitten,and,1
you,know,it,may,1
to,the,kitten,and,1
the,trees,and,fields,1
you,know,unless,our,1
and,speaking,in,as,1
pretend,and,here,i,1
for,the,white,kitten,1
have,had,any,hand,1
have,you,got,to,1
ought,she,added,looking,1
itll,be,easy,enough,1
thinner,pencil,i,cant,1
two,of,them,and,1
alice,watched,the,white,1
off,never,mind,kitty,1
and,begin,kicking,she,1
and,she,was,quite,1
the,table,she,thought,1
suppose,when,the,day,1
all,alive,and,the,1
the,edge,of,the,1
itll,be,when,they,1
theres,the,room,you,1
for,that,nasty,knight,1
than,eat,them,do,1
i,could,tell,you,1
of,her,noisy,little,1
one,paw,and,then,1
time,without,saying,anything,1
more,to,herself,than,1
for,some,time,without,1
to,make,it,understand,1
had,quite,a,long,1
he,was,so,covered,1
it,pretty,well,considering,1
one,here,to,scold,1
and,made,her,turn,1
but,his,eyes,and,1
in,sticks,for,the,1
other,way,i,can,1
glass,and,then,they,1
wasnt,looking,thats,three,1
i,wonder,if,the,1
too,strong,for,him,1
alice,had,been,trying,1
in,the,winter,you,1
this,is,taking,us,1
back,and,lay,perfectly,1
to,prison,i,suppose,1
in,the,hearth,among,1
making,you,tidy,so,1
my,ideas,about,looking,1
make,it,understand,that,1
to,say,for,yourself,1
outside,i,wonder,if,1
me,then,she,began,1
down,and,im,nearly,1
in,which,the,ball,1
work,on,the,white,1
up,one,finger,im,1
no,doubt,feeling,that,1
one,she,had,left,1
a,year,i,should,1
they,wake,up,in,1
horror,of,that,moment,1
white,quilt,and,perhaps,1
the,hearth,among,the,1
of,the,chessmen,down,1
kitten,had,had,nothing,1
the,table,near,the,1
drop,upon,the,floor,1
and,lifted,him,across,1
and,fields,that,it,1
among,my,pieces,kitty,1
she,had,had,quite,1
and,then,smoke,comes,1
how,sulky,it,was,1
as,different,as,possible,1
to,get,through,she,1
them,so,gently,and,1
dont,make,any,more,1
it,up,to,the,1
of,our,books,to,1
see,her,so,alice,1
who,liked,being,very,1
im,sure,the,woods,1
called,out,to,the,1
till,her,hand,shook,1
afterwards,that,she,had,1
she,hastily,picked,up,1
just,in,time,to,1
books,are,something,like,1
that,may,be,only,1
worsted,alice,had,been,1
to,the,kitten,lets,1
to,make,it,look,1
into,looking,glass,house,2
for,a,minute,or,1
the,pencil,for,some,1
the,king,immediately,fell,1
castles,walking,arm,in,1
she,rubbed,its,face,1
sat,down,the,rapid,1
through,the,glass,and,1
as,if,he,thought,1
getting,brown,kitty,can,1
excuses,but,listen,number,1
because,when,we,were,1
the,miserable,day,came,1
getting,in,sticks,for,1
and,began,writing,for,1
trying,to,wind,up,1
how,do,you,know,1
the,white,queen,cried,1
picked,him,up,very,1
wednesday,week,suppose,they,1
see,how,it,would,1
life,such,a,face,1
our,passage,as,far,1
her,so,alice,picked,1
understand,that,it,was,1
had,been,rolling,it,1
of,romps,with,the,1
was,a,fire,in,1
the,kitten,what,would,1
to,the,passage,you,1
tidy,as,the,other,1
talking,all,the,time,1
wind,up,and,had,1
immediately,fell,flat,on,1
then,they,hold,up,1
now,you,watched,just,1
play,chess,now,dont,1
good,to,drink,but,1
punishments,for,wednesday,week,1
her,they,dont,keep,1
playing,just,now,you,1
in,the,afternoon,and,1
wide,open,all,the,1
was,far,too,much,1
with,the,pencil,for,1
it,got,unwound,again,1
ink,and,when,she,1
and,dance,about,whenever,1
and,if,youre,not,1
was,through,the,glass,1
on,the,chimney,piece,2
considering,so,you,see,1
,looking,glass,house,1
was,spread,over,the,1
you,like,that,now,1
all,knots,and,tangles,1
when,i,saw,all,1
me,i,feel,somehow,1
king,went,on,i,1
very,pretty,cried,alice,1
you,know,with,a,1
the,fire,seemed,to,1
as,soon,as,she,1
they,said,the,king,1
check,kitty,and,really,1
alice,went,on,as,1
much,id,far,rather,1
nice,check,kitty,and,1
was,quite,clear,that,1
fifty,dinners,at,once,1
kitten,was,speaking,her,1
whether,there,was,a,1
room,you,can,see,1
of,frightening,them,and,1
her,on,the,table,1
havent,got,any,whiskers,1
a,whisper,for,fear,1
be,no,one,here,1
for,any,of,them,1
together,in,a,frightened,1
its,face,all,over,1
then,with,the,other,1
up,in,the,summer,1
unless,our,fire,smokes,1
number,two,you,pulled,1
that,he,could,neither,1
be,all,alive,and,1
be,one,of,them,1
anything,but,alice,was,1
other,paw,she,rubbed,1
and,grinned,at,her,1
hadnt,i,but,the,1
know,what,to,morrow,1
was,to,look,whether,1
only,the,things,go,1
of,getting,through,into,1
you,whats,that,you,1
ive,held,up,one,1
a,little,old,man,1
his,shoulder,and,began,1
and,tangles,with,the,1
wide,open,and,its,1
silence,as,soon,as,1
just,as,if,you,1
you,half,the,things,1
all,come,undone,again,1
held,the,poor,thing,1
came,i,should,have,1
she,went,on,holding,1
the,winding,and,now,1
there,are,the,white,1
her,hands,and,knees,1
some,time,without,saying,1
tangles,with,the,kitten,1
white,king,and,the,1
whiskers,the,horror,of,1
just,as,i,had,1
up,alice,watched,the,1
argued,that,they,couldnt,1
and,rounder,and,rounder,1
old,cat,and,speaking,1
alice,was,sitting,curled,1
get,through,she,was,1
gently,and,lifted,him,1
get,upon,a,chair,1
and,gently,touching,the,1
my,child,the,white,1
imitate,however,the,thing,1
wicked,little,thing,cried,1
had,to,leave,off,1
away,by,the,tail,1
cinders,my,precious,lily,1
and,his,mouth,went,1
you,were,thirsty,were,1
my,dear,i,really,1
day,before,all,because,1
can,hardly,hold,you,1
the,kittens,neck,just,1
old,nurse,by,shouting,1
now,for,number,three,1
and,dont,keep,your,1
dropping,the,ball,of,1
more,slowly,than,she,1
purred,well,it,was,1
last,to,say,well,1
the,table,and,set,1
well,then,the,books,1
that,the,white,kitten,1
you,couldnt,i,was,1
help,if,it,might,1
been,trying,to,wind,1
away,just,like,a,1
slowly,struggled,up,from,1
sleepy,in,the,autumn,1
for,the,bonfire,and,1
the,kitten,lets,pretend,1
the,chessmen,down,in,1
it,it,was,the,1
dont,keep,your,mouth,1
go,the,other,way,1
bit,i,want,so,1
looked,on,with,great,1
didnt,get,on,very,1
an,invisible,hand,and,1
